variant,normalization,temporal_weight,local_weight,topology_weight,corner_weight,dataset,glyph_alphabet,corner_identity_flip_rate,glyph_flips_per_second,stroke_metric_difference,verdict
topology-high,raw,1.8000,0.5500,3.6000,0.3500,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
topology-high,raw,1.8000,0.5500,3.6000,0.3500,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
topology-high,raw,1.8000,0.5500,3.6000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
topology-high,raw,1.8000,0.5500,3.6000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
topology-high,raw,1.8000,0.5500,3.6000,0.3500,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,high-speed,unicode,1.0000,182.5352,0.1014,unstable
topology-high,normalized,1.4571,0.4452,2.9143,0.2833,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,high-speed,unicode,1.0000,182.5352,0.1014,unstable
corner-low,raw,1.8000,0.5500,2.4000,0.1750,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,high-speed,unicode,1.0000,182.5352,0.1014,unstable
corner-low,normalized,1.8640,0.5695,2.4853,0.1812,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,high-speed,unicode,1.0000,182.5352,0.1014,unstable
corner-high,raw,1.8000,0.5500,2.4000,0.5250,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,high-speed,unicode,1.0000,182.5352,0.1014,unstable
corner-high,normalized,1.7403,0.5318,2.3204,0.5076,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
